0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
46.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,4.0,56.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.86,5191.0
42.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,272.0,2.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.344,5099.1
63.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,8.0,5.0,107.0,3.0,999.0,0.0,2.0,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2
31.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,8.0,3.0,77.0,6.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.965,5228.1
42.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,110.0,1.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.445,5099.1
41.0,8.0,2.0,6.0,1.0,2.0,2.0,1.0,7.0,5.0,348.0,2.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.963,5228.1
51.0,1.0,3.0,7.0,1.0,2.0,2.0,1.0,5.0,3.0,120.0,3.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.334,5099.1
49.0,5.0,1.0,7.0,1.0,1.0,1.0,2.0,5.0,3.0,675.0,1.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
55.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,7.0,3.0,90.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.957,5228.1
23.0,8.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,4.0,64.0,1.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.266,5099.1
54.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,28.0,6.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.967,5228.1
32.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,6.0,2.0,31.0,5.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.864,5228.1
38.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,6.0,3.0,236.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.864,5228.1
39.0,8.0,2.0,4.0,3.0,1.0,2.0,2.0,5.0,5.0,134.0,3.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.855,5191.0
31.0,10.0,2.0,6.0,1.0,2.0,1.0,2.0,5.0,2.0,130.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.856,5191.0
34.0,10.0,3.0,7.0,1.0,2.0,1.0,1.0,8.0,4.0,385.0,4.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.968,5228.1
47.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,7.0,1.0,461.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.96,5228.1
34.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,137.0,1.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.281,5099.1
33.0,10.0,1.0,6.0,1.0,2.0,1.0,2.0,5.0,1.0,147.0,3.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
37.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,5.0,126.0,2.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.963,5228.1
30.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,4.0,892.0,4.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.86,5191.0
25.0,9.0,3.0,4.0,1.0,1.0,1.0,2.0,9.0,1.0,185.0,1.0,999.0,0.0,2.0,-1.1,94.199,-37.5,0.8759999999999999,4963.6
23.0,10.0,3.0,6.0,1.0,2.0,1.0,2.0,7.0,4.0,194.0,2.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.966,5228.1
56.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,2.0,139.0,2.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.965,5228.1
42.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,16.0,2.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.281,5099.1
35.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,7.0,1.0,292.0,3.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
46.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,5.0,2.0,142.0,1.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.856,5191.0
54.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,5.0,4.0,158.0,1.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.266,5099.1
25.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,4.0,330.0,2.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.266,5099.1
30.0,8.0,2.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,114.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.864,5191.0
26.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,78.0,2.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.41,5099.1
34.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,5.0,1.0,349.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.8580000000000005,5191.0
38.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,6.0,3.0,1361.0,1.0,999.0,1.0,1.0,-2.9,92.963,-40.8,1.26,5076.2
41.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,10.0,2.0,49.0,1.0,999.0,0.0,2.0,-0.1,93.79799999999999,-40.4,4.968,5195.8
32.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,41.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
40.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,11.0,5.0,74.0,1.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.021,5195.8
81.0,12.0,1.0,8.0,3.0,2.0,1.0,1.0,11.0,1.0,263.0,1.0,999.0,1.0,1.0,-3.4,92.649,-30.1,0.715,5017.5
29.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,8.0,4.0,134.0,1.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.963,5228.1
31.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,9.0,5.0,112.0,7.0,999.0,0.0,2.0,-3.4,92.37899999999999,-29.8,0.8029999999999999,5017.5
60.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,10.0,4.0,133.0,6.0,999.0,2.0,1.0,-3.4,92.431,-26.9,0.722,5017.5
50.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,8.0,2.0,23.0,9.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.965,5228.1
35.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,6.0,1.0,130.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.865,5228.1
42.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,2.0,179.0,5.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.961,5228.1
49.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,7.0,1.0,263.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
59.0,6.0,2.0,7.0,1.0,2.0,1.0,1.0,7.0,1.0,664.0,7.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
30.0,10.0,3.0,7.0,1.0,1.0,1.0,1.0,7.0,2.0,402.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
40.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,238.0,3.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
34.0,10.0,2.0,7.0,1.0,1.0,1.0,1.0,7.0,4.0,153.0,3.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.968,5228.1
47.0,8.0,2.0,4.0,3.0,2.0,2.0,2.0,6.0,3.0,161.0,2.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.962,5228.1
34.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,4.0,144.0,3.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.266,5099.1
24.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,485.0,1.0,6.0,1.0,3.0,-1.1,94.601,-49.5,0.977,4963.6
43.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,5.0,1.0,181.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
45.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,6.0,4.0,69.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.961,5228.1
56.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,11.0,4.0,88.0,2.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.0760000000000005,5195.8
58.0,10.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,324.0,1.0,999.0,0.0,2.0,-1.7,94.027,-38.3,0.904,4991.6
37.0,5.0,3.0,7.0,1.0,2.0,1.0,1.0,5.0,2.0,277.0,1.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.344,5099.1
50.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,7.0,1.0,1076.0,17.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
47.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1122.0,1.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.41,5099.1
39.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,156.0,2.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.405,5099.1
47.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,5.0,27.0,11.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.9639999999999995,5228.1
59.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,8.0,3.0,625.0,5.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.9639999999999995,5228.1
55.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,5.0,3.0,497.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
30.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,255.0,1.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1
49.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,3.0,65.0,2.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.281,5099.1
38.0,9.0,3.0,7.0,1.0,1.0,1.0,2.0,6.0,1.0,194.0,4.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.865,5228.1
48.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,6.0,4.0,361.0,2.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.958,5228.1
54.0,1.0,2.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,415.0,1.0,999.0,0.0,2.0,-1.8,92.84299999999999,-50.0,1.56,5099.1
61.0,5.0,2.0,6.0,1.0,1.0,1.0,1.0,9.0,2.0,380.0,1.0,999.0,0.0,2.0,-1.1,94.199,-37.5,0.877,4963.6
40.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,381.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.856,5191.0
39.0,10.0,2.0,3.0,1.0,1.0,1.0,1.0,9.0,5.0,171.0,2.0,999.0,1.0,1.0,-3.4,92.37899999999999,-29.8,0.8029999999999999,5017.5
44.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,5.0,2.0,64.0,1.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
40.0,5.0,2.0,7.0,1.0,2.0,1.0,1.0,11.0,5.0,401.0,1.0,999.0,1.0,1.0,-0.1,93.2,-42.0,4.021,5195.8
39.0,10.0,2.0,6.0,1.0,2.0,1.0,2.0,5.0,5.0,75.0,3.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
47.0,8.0,2.0,4.0,3.0,2.0,1.0,2.0,6.0,1.0,87.0,3.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.96,5228.1
35.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,8.0,5.0,201.0,1.0,999.0,0.0,2.0,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2
47.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,298.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
36.0,8.0,2.0,4.0,3.0,1.0,1.0,2.0,5.0,2.0,318.0,3.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
32.0,10.0,3.0,7.0,1.0,2.0,1.0,2.0,6.0,2.0,45.0,2.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.961,5228.1
30.0,10.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,64.0,2.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.266,5099.1
50.0,8.0,2.0,4.0,1.0,1.0,1.0,1.0,7.0,2.0,301.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.961,5228.1
40.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,6.0,2.0,49.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.864,5228.1
51.0,10.0,2.0,6.0,1.0,2.0,1.0,1.0,4.0,4.0,115.0,1.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.365,5099.1
26.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,230.0,3.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.865,5228.1
49.0,11.0,2.0,4.0,3.0,2.0,1.0,1.0,8.0,5.0,112.0,2.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.9639999999999995,5228.1
30.0,10.0,3.0,7.0,1.0,1.0,1.0,2.0,6.0,2.0,174.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.864,5228.1
28.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,7.0,4.0,44.0,3.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.968,5228.1
57.0,6.0,2.0,1.0,3.0,2.0,2.0,1.0,7.0,3.0,253.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
26.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,6.0,3.0,606.0,2.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.864,5228.1
41.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,7.0,4.0,350.0,10.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.968,5228.1
35.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,11.0,4.0,533.0,2.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.0760000000000005,5195.8
30.0,10.0,3.0,7.0,1.0,2.0,1.0,1.0,5.0,1.0,177.0,1.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.244,5099.1
38.0,11.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,206.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
43.0,10.0,2.0,7.0,1.0,1.0,1.0,1.0,8.0,4.0,160.0,1.0,999.0,0.0,2.0,-2.9,92.20100000000001,-31.4,0.873,5076.2
60.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,5.0,99.0,1.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.25,5099.1
44.0,8.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,5.0,238.0,3.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.957,5228.1
24.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,7.0,5.0,270.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.959,5228.1
36.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,6.0,3.0,54.0,4.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.962,5228.1
32.0,10.0,2.0,7.0,1.0,2.0,1.0,1.0,8.0,4.0,318.0,1.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.968,5228.1
31.0,10.0,3.0,6.0,1.0,2.0,1.0,1.0,8.0,1.0,194.0,1.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.965,5228.1
45.0,11.0,2.0,7.0,1.0,2.0,1.0,2.0,7.0,1.0,363.0,3.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
40.0,1.0,3.0,7.0,1.0,1.0,1.0,2.0,5.0,2.0,145.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.856,5191.0
47.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,7.0,4.0,114.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.958,5228.1
33.0,9.0,3.0,8.0,1.0,2.0,2.0,1.0,8.0,2.0,203.0,1.0,999.0,0.0,2.0,-2.9,92.20100000000001,-31.4,0.883,5076.2
41.0,5.0,2.0,7.0,1.0,2.0,1.0,2.0,5.0,3.0,205.0,7.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
49.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,11.0,1.0,265.0,1.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.191,5195.8
32.0,11.0,2.0,6.0,1.0,2.0,1.0,2.0,11.0,2.0,486.0,1.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.343,5195.8
35.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,123.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.961,5228.1
27.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,156.0,1.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.41,5099.1
33.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,804.0,2.0,9.0,1.0,3.0,-1.8,92.89299999999999,-46.2,1.334,5099.1
66.0,11.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,416.0,1.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.365,5099.1
57.0,6.0,3.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,53.0,1.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
38.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,7.0,2.0,91.0,2.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.961,5228.1
29.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,411.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.961,5228.1
36.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,11.0,3.0,83.0,1.0,999.0,1.0,1.0,-0.1,93.2,-42.0,4.12,5195.8
37.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,5.0,1.0,89.0,3.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
39.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,11.0,1.0,58.0,1.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.191,5195.8
32.0,10.0,3.0,7.0,1.0,1.0,1.0,1.0,8.0,3.0,132.0,2.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.9639999999999995,5228.1
43.0,10.0,3.0,6.0,3.0,2.0,1.0,2.0,7.0,3.0,39.0,7.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.957,5228.1
41.0,10.0,3.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0,64.0,1.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.191,5195.8
39.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,5.0,158.0,1.0,999.0,0.0,2.0,1.4,93.444,-36.1,4.9639999999999995,5228.1
51.0,5.0,2.0,7.0,3.0,1.0,1.0,1.0,7.0,4.0,901.0,2.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
32.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,11.0,2.0,55.0,1.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.1530000000000005,5195.8
38.0,3.0,2.0,7.0,1.0,2.0,1.0,1.0,11.0,4.0,106.0,3.0,999.0,1.0,1.0,-0.1,93.2,-42.0,4.0760000000000005,5195.8
